Hawk Frame ID,SSP Frame ID,Screen count,Name,Publisher,Latitude,Longitude,Estimated address,City,Zipcode,Country,Width,Height,Format name,Environment,Contacts (weekly),Creative type,Video min duration,Video max duration,Certification
viooh:JCDECAUX_GB:1234933266,JCDECAUX_GB:1234933266,,,JCDECAUX_GB,51.511738,-0.079011,"Gartmore Investment Management P, 8 Fenchurch Pl, London EC3M 4AJ, UK",London,EC3M 4AJ,United Kingdom,1080,1920,,transit.train_stations,81253.9570884325,video,,6.0,
viooh:JCDECAUX_GB:1234933269,JCDECAUX_GB:1234933269,,,JCDECAUX_GB,53.79419,-1.54747,"18 Neville St, Leeds LS1 4BT, UK",Leeds,LS1 4BT,United Kingdom,1080,1920,,transit.train_stations,267668.0610594253,video,,6.0,
viooh:JCDECAUX_GB:1234933270,JCDECAUX_GB:1234933270,,,JCDECAUX_GB,53.79439,-1.54775,LEEDS STN,Leeds,LS1 4SP,England,1080,1920,,transit.train_stations,89198.74281572507,video,,6.0,
viooh:JCDECAUX_GB:1234933273,JCDECAUX_GB:1234933273,,,JCDECAUX_GB,53.404361,-2.979554,"24 Ranelagh St, Liverpool L1 1QE, UK",Liverpool,L1 1QE,United Kingdom,1080,1920,,transit.train_stations,289474.5269889997,video,,6.0,
viooh:JCDECAUX_GB:1234933272,JCDECAUX_GB:1234933272,,,JCDECAUX_GB,53.404361,-2.979554,"24 Ranelagh St, Liverpool L1 1QE, UK",Liverpool,L1 1QE,United Kingdom,1080,1920,,transit.train_stations,990590.7600615022,video,,6.0,
viooh:JCDECAUX_GB:1234933265,JCDECAUX_GB:1234933265,,,JCDECAUX_GB,51.511738,-0.079011,"Gartmore Investment Management P, 8 Fenchurch Pl, London EC3M 4AJ, UK",London,EC3M 4AJ,United Kingdom,1080,1920,,transit.train_stations,115977.35398171515,video,,6.0,
viooh:JCDECAUX_GB:1234933274,JCDECAUX_GB:1234933274,,,JCDECAUX_GB,53.404361,-2.979554,"24 Ranelagh St, Liverpool L1 1QE, UK",Liverpool,L1 1QE,United Kingdom,1080,1920,,transit.train_stations,90459.47262882488,video,,6.0,
viooh:JCDECAUX_GB:1234933275,JCDECAUX_GB:1234933275,,,JCDECAUX_GB,53.407941,-2.978237,"29 Lime St, Liverpool L1 1JD, UK",Liverpool,L1 1JD,United Kingdom,1080,1920,,transit.train_stations,116906.41571654996,video,,6.0,
viooh:JCDECAUX_GB:1234933277,JCDECAUX_GB:1234933277,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,42091.46402324999,video,,6.0,
viooh:JCDECAUX_GB:1234933278,JCDECAUX_GB:1234933278,,,JCDECAUX_GB,53.408295,-2.988655,"2 Moorfields, Liverpool L2 2BS, UK",Liverpool,L2 2BS,United Kingdom,1080,1920,,transit.train_stations,78000.17375277508,video,,6.0,
viooh:JCDECAUX_GB:1234933276,JCDECAUX_GB:1234933276,,,JCDECAUX_GB,53.407941,-2.978237,"29 Lime St, Liverpool L1 1JD, UK",Liverpool,L1 1JD,United Kingdom,1080,1920,,transit.train_stations,117040.70037207505,video,,6.0,
viooh:JCDECAUX_GB:1234933282,JCDECAUX_GB:1234933282,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,2597125.7173035936,video,,6.0,
viooh:JCDECAUX_GB:1234933279,JCDECAUX_GB:1234933279,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1143503.6392155746,video,,6.0,
viooh:JCDECAUX_GB:1234933281,JCDECAUX_GB:1234933281,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1200991.1861572927,video,,6.0,
viooh:JCDECAUX_GB:1234933280,JCDECAUX_GB:1234933280,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1577658.2700102236,video,,6.0,
viooh:JCDECAUX_GB:1234933283,JCDECAUX_GB:1234933283,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1852748.300375687,video,,6.0,
viooh:JCDECAUX_GB:1234933284,JCDECAUX_GB:1234933284,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1275415.0917414876,video,,6.0,
viooh:JCDECAUX_GB:1234933285,JCDECAUX_GB:1234933285,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,1560510.0826517553,video,,6.0,
viooh:JCDECAUX_GB:1234933289,JCDECAUX_GB:1234933289,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,2105859.2910984764,video,,6.0,
viooh:JCDECAUX_GB:1234933290,JCDECAUX_GB:1234933290,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,529036.0883155178,video,,6.0,
viooh:JCDECAUX_GB:1234933291,JCDECAUX_GB:1234933291,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,3079244.8862473997,video,,6.0,
viooh:JCDECAUX_GB:1234933292,JCDECAUX_GB:1234933292,,,JCDECAUX_GB,51.528664,-0.133296,"26 Eversholt St, London NW1 2EF, UK",London,NW1 2EF,United Kingdom,1080,1920,,transit.train_stations,2083632.297642739,video,,6.0,
viooh:JCDECAUX_GB:1234933321,JCDECAUX_GB:1234933321,,,JCDECAUX_GB,53.389718,-1.482408,TESCO SHEFFIELD INFIRMARY,Sheffield,S6 3BU,England,1080,1920,,retail.grocery,205968.6729507502,video,,6.0,
viooh:JCDECAUX_GB:1234933322,JCDECAUX_GB:1234933322,,,JCDECAUX_GB,52.512757,-1.88798,"275 Aston Ln, Handsworth, Birmingham B20 3HS, UK",Birmingham,B20 3HS,United Kingdom,1080,1920,,retail.grocery,347368.5433706744,video,,6.0,
viooh:JCDECAUX_GB:1234933323,JCDECAUX_GB:1234933323,,,JCDECAUX_GB,52.48552,-1.919817,"41-47 Spring Hl, Hockley, Birmingham B18 7BH, UK",Birmingham,B18 7BH,United Kingdom,1080,1920,,retail.grocery,39452.4696981925,video,,6.0,
viooh:JCDECAUX_GB:1234933413,JCDECAUX_GB:1234933413,,,JCDECAUX_GB,55.963134,-3.196357,"12 B900, Edinburgh EH7 4EB, UK",Edinburgh,EH7 4EB,United Kingdom,1080,1920,,retail.grocery,103641.22766615001,video,,6.0,
viooh:JCDECAUX_GB:1234933562,JCDECAUX_GB:1234933562,,,JCDECAUX_GB,53.414254,-2.996128,A565: GREAT HOWARD STREET - LIVERPOOL,Liverpool,L3 7HS,England,612,306,,outdoor.billboards,386812.1522097504,banner,,12.0,
viooh:JCDECAUX_GB:1234933567,JCDECAUX_GB:1234933567,,,JCDECAUX_GB,53.404764,-2.980026,"11 Lyceum Pl, Ranelagh St, Liverpool L1 1QE, UK",Liverpool,L1 1QE,United Kingdom,1080,1920,,transit.train_stations,217391.04694135,video,,6.0,
viooh:JCDECAUX_GB:1234933591,JCDECAUX_GB:1234933591,,,JCDECAUX_GB,51.508326,-0.126135,"450 Strand, London WC2R 0RG, UK",London,WC2R 0RG,United Kingdom,1080,1920,,outdoor.bus_shelters,400498.60667375004,banner,,12.0,
viooh:JCDECAUX_GB:1234933592,JCDECAUX_GB:1234933592,,,JCDECAUX_GB,51.508326,-0.126135,"450 Strand, London WC2R 0RG, UK",London,WC2R 0RG,United Kingdom,1080,1920,,outdoor.bus_shelters,810735.9799099996,banner,,12.0,
viooh:JCDECAUX_GB:1234933620,JCDECAUX_GB:1234933620,,,JCDECAUX_GB,51.481797,-0.181413,"510 King's Rd, London SW10 0LD, UK",London,SW10 0LD,United Kingdom,1080,1920,,outdoor.urban_panels,193926.6424275002,banner,,12.0,
viooh:JCDECAUX_GB:1234933619,JCDECAUX_GB:1234933619,,,JCDECAUX_GB,51.53697,-0.101139,"31 Essex Rd, London N1 2SA, UK",London,N1 2SA,United Kingdom,1080,1920,,outdoor.urban_panels,116665.15718999994,banner,,12.0,
viooh:JCDECAUX_GB:1234933616,JCDECAUX_GB:1234933616,,,JCDECAUX_GB,51.508786,-0.224667,WOOD LANE,London,W12 8AR,England,1080,1920,,outdoor.urban_panels,116626.9435929999,banner,,12.0,
viooh:JCDECAUX_GB:1234933621,JCDECAUX_GB:1234933621,,,JCDECAUX_GB,51.492164,-0.165601,"71 Sloane Ave, London SW3 3DH, UK",London,SW3 3DH,United Kingdom,1080,1920,,outdoor.urban_panels,9279.8116184,banner,,12.0,
viooh:JCDECAUX_GB:1234933623,JCDECAUX_GB:1234933623,,,JCDECAUX_GB,51.494518,-0.195969,"Burton-White House, 10 W Cromwell Rd, London SW5 9QJ, UK",London,SW5 9QJ,United Kingdom,1080,1920,,outdoor.urban_panels,896785.5639874997,banner,,12.0,
viooh:JCDECAUX_GB:1234933622,JCDECAUX_GB:1234933622,,,JCDECAUX_GB,51.488751,-0.192546,"286 Old Brompton Rd, London SW5 9HR, UK",London,SW5 9HR,United Kingdom,1080,1920,,outdoor.urban_panels,482445.74389499985,banner,,12.0,
viooh:JCDECAUX_GB:1234933625,JCDECAUX_GB:1234933625,,,JCDECAUX_GB,51.504336,-0.193477,"65 Kensington Church St, London W8 4BA, UK",London,W8 4BA,United Kingdom,1080,1920,,outdoor.urban_panels,134381.160562,banner,,12.0,
viooh:JCDECAUX_GB:1234933626,JCDECAUX_GB:1234933626,,,JCDECAUX_GB,51.494756,-0.185357,CROMWELL ROAD,London,SW7 4DN,England,1080,1920,,outdoor.urban_panels,238147.74140499995,banner,,12.0,
